"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","796","TCA","Turks and Caicos Islands","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","4.101332"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","798","TUV","Tuvalu","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","0.331"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","800","UGA","Uganda","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","4193.182836"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","804","UKR","Ukraine","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","68075"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","807","MKD","North Macedonia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","8185.664065"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","818","EGY","Egypt","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","43626.21"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","826","GBR","United Kingdom","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","468177.244893"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","834","TZA","Tanzania","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","6390.540852"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","1754300.367662"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","854","BFA","Burkina Faso","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","5042.966"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","858","URY","Uruguay","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","9539.193"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","860","UZB","Uzbekistan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","14081.079638"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","862","VEN","Venezuela, Bolivarian Republic of","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","3575"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","876","WLF","Wallis and Futuna Islands","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","0.144387"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","882","WSM","Samoa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","28.837"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","887","YEM","Yemen","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","662"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","892","SRB","Serbia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","25563.526935"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","893","MNE","Montenegro","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","515.366651"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","894","ZMB","Zambia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","11141.115505"
